company_name,year_founded,industries,hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,acquired_by,acquired_price,ipo_status,ipo_valuation,ipo_date,growth_confidence,growth_category,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors
Evolution Space,2018,"Aerospace, Air Transportation","Mojave, California, United States",93501,"Solid, simple propulsion and launch for the next generation of space and defense technology.",Active,71289,Seed,2023-10-10,Convertible Note,,,Private,,,,Growing,Less than $1M,11-50,9,2304500,Convoi Ventures,1
Liquid Payments,2019,"Financial Services, FinTech, Health Care, Information Technology","Fort Lauderdale, Florida, United States",33301,Liquid Payments is a financial technology innovator “disrupting” the healthcare space.,Active,1034019,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Scanner HD,2019,"Information Technology, Software","Rolling Meadows, Illinois, United States",60008,ScannerHD is the easiest and fastest way to create high quality scans with your iPhone or Android device.,Active,1606170,,,,,,Private,,,,,,11-50,,,,
Pumas-AI,2019,"Artificial Intelligence (AI), Consulting, Health Care, Machine Learning, Software","Baltimore, Maryland, United States",21201,"Supporting healthcare research across the drug development horizontal, from modeling and simulation products to strategic consulting.",Active,500965,,,,,,Private,,,,,$1M to $10M,11-50,,,,
SVORT,2019,"Biometrics, Cyber Security, Information Technology, Mobile, Software","Wilmington, Delaware, United States",19801,SVORT is neural-biometrics access management system based on anonymous biometrics algorithm & proprietary technologies in liveness detection,Active,792412,Seed,2020-08-01,Non-equity Assistance,,,Private,,,,,Less than $1M,10-Jan,2,,"Newchip Accelerator, Fulgur Ventures",2
Nebula Compute,2019,"Satellite Communication, Space Travel","Newport Beach, California, United States",92663,Space Technology Company,Active,115525,,2021-11-12,Grant,,,Private,,,,Growing,,11-50,4,1390000,"Starburst Accelerator, NASA",2
Rebel Space Technologies,2019,"Aerospace, Software","Long Beach, California, United States",90802,"Building autonomous threat recognition, threat response, and cybersecurity software for space systems",Active,1552357,Seed,2022-09-01,Non-equity Assistance,,,Private,,,,,,10-Jan,2,,"Creative Destruction Lab (CDL), Starburst Accelerator",2
Novo Space,2019,Aerospace,"El Segundo, California, United States",90245,High-performance radiation-tolerant computers for new space applications,Active,62856,,2024-01-08,Venture - Series Unknown,,,Private,,,,,$1M to $10M,11-50,8,6765003,"Techstars, Creative Destruction Lab (CDL), Spacecadet Ventures, AIR Capital, Draper Venture Network",10
ARnDAI,2019,"Augmented Reality, Information Technology, Software","San Francisco, California, United States",94103,Remote multiplayer technology in Augmented Reality,Active,170013,Seed,2019-10-01,Pre-Seed,,,Private,,,,,,10-Jan,1,150000,,
Above: Space Development Corporation,2019,Aerospace,"Huntsville, Alabama, United States",35801,"Above: Space Development Corporation, formerly Orbital Assembly, is the world's first large scale space construction company.",Active,98947,,2021-11-09,Equity Crowdfunding,,,Private,,,,,Less than $1M,11-50,2,2320750,,
Noble Stay,2019,"E-Commerce, Hospitality, Information Technology, Lifestyle, Mobile Apps, Travel, Web Apps","New York, New York, United States",10001,"Noble is a premium hotel & experience platform that inspires, curates, and delivers personalized stays on preferred terms.",Active,699591,,,,,,Private,,,,,,11-50,,,,
NextRivet,2019,"Consulting, Digital Media, Information Technology, Innovation Management, PropTech","San Francisco, California, United States",94103,NextRivet is a hands-on technology consultancy working with the retail ecosystem to bridge the gap between digital and physical experiences.,Active,2223174,,,,,,Private,,,,,,10-Jan,,,,
Exo-Space,2020,"Artificial Intelligence (AI), Computer Vision, Hardware, Information Services, Machine Learning, Satellite Communication, Software, Space Travel","Los Angeles, California, United States",90001,Exo-Space is a hardware and software for new age satellites.,Active,148262,M&A,2021-06-18,Pre-Seed,Sidus Space,,Private,,,,Growing,,10-Jan,1,208000,,
Reach Space Technologies,2020,"Aerospace, Manufacturing, Mechanical Design","Seattle, Washington, United States",98101,Reach Space Technologies manufactures aviation and aerospace components with real-time engine tracking software.,Active,1139443,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Galactic Bioware,2020,"Electronics, Manufacturing, Software","Salt Lake City, Utah, United States",84101,"Galactic Bioware, Inc. is a team of designers and engineers working to increase the survivability of dangerous and extreme environments",Active,127272,Seed,2021-12-31,Seed,,,Private,,,,,,11-50,2,1000000,,
Paimeix.com,2020,"B2B, E-Commerce, Manufacturing, Marketplace, Retail, Wholesale","Portland, Oregon, United States",97201,Paimeix is a wholesale management platform that connects North American manufacturers and retailers.,Active,1791947,,,,,,Private,,,,,,10-Jan,,,,
WAGNER Star Industries,2020,"Aerospace, Military, Space Travel","St. Petersburg, Florida, United States",33701,Launch Systems Company that provides a firm fixed launch services price via the Quetzalcóatl Spaceplane.,Active,2001736,,,,,,Private,,,,,$100M to $500M,11-50,,,,
Metrolla,2020,"Autonomous Vehicles, Computer Vision, Data Collection and Labeling, Machine Learning, Robotics, Security, Smart Cities, Software","Seattle, Washington, United States",98101,Metrolla enables automation and data collection from machine vision without interruption to p services that use the sensors.,Active,123138,Seed,2022-01-10,Pre-Seed,,,Private,,,,,Less than $1M,10-Jan,2,450000,,
Heyday,2020,"Digital Marketing, E-Commerce, Information Technology, Marketplace","San Francisco, California, United States",94103,Heyday offers a digital marketplace space built for sellers to accelerate consumer product brands.,Active,2765,M&A,2021-11-16,Series C,Essor,,Private,,,,,$10M to $50M,251-500,3,800000000,"Amazon, Khosla Ventures, General Catalyst, PremjiInvest, eBay",11
Flukebox,2020,"Artificial Intelligence (AI), Industrial Automation, Retail, Retail Technology, Robotics","Los Angeles, California, United States",90001,Flukebox s foucing on AI.,Closed,3376788,Seed,2021-02-05,Seed,,,Private,,,,,Less than $1M,10-Jan,2,,,
Replika,2020,"Artificial Intelligence (AI), Chatbot, Software, Wellness","San Francisco, California, United States",94103,Replika is an AI chatbot designed to help individuals improve their emotional well-being and learn new coping skills.,Active,1217050,,,,,,Private,,,,,$1M to $10M,51-100,,,,
Seek,2020,"Apps, Hospitality, Information Technology, Travel","New York, New York, United States",10001,Seek is a content platform that connects tastemakers with consumers seeking trusted recommendations on how to spend their leisure time.,Active,81692,Seed,2021-08-12,Seed,,,Private,,,,,,11-50,1,4000000,"Entrée Capital, Valar Ventures, Western Technology Investment, Breyer Capital, QED Investors",6
ThinkOrbital,2021,"Aerospace, Manufacturing, Robotics, Space Travel","Denver, Colorado, United States",80202,Construction technologies for space applications,Active,51252,Seed,2023-05-18,Grant,,,Private,,,,Growing,,10-Jan,3,4010000,"7percent Ventures, Pathbreaker Ventures, TFX Capital, Advanced Industries Accelerator (AIA) Program",4
Capsule,2021,"Artificial Intelligence (AI), Enterprise, Marketing, SaaS, Software, Video","New York, New York, United States",10001,AI-powered video tools from the future.,Active,53907,Seed,2023-02-14,Seed,,,Private,,,,,$1M to $10M,11-50,2,7700000,"Bloomberg Beta, Nat Friedman, Behind Genius Ventures, Array Ventures, Amjad Masad",23
ZipMessage,2021,"Information Technology, Meeting Software, Mobile, Software, Video","Orange, Connecticut, United States",6477,"ZipMessage is a software for swapping video, audio or text messages with clients.",Active,1379602,Seed,2021-08-19,Seed,,,Private,,,,,,10-Jan,1,,Calm Company Fund,1
SPACECO,2021,"Aerospace, Construction, Industrial","Ames, Iowa, United States",50010,"SPACECO researches, develops, and implements space construction technologies.",Active,2740729,,,,,,Private,,,,,,11-50,,,,
NFT Labs,2021,"Art, Information Technology, Software","Los Angeles, California, United States",90001,Group of creative technologists best known for our NFT art projects and building software on XRP ledger.,Active,142776,Seed,2023-01-10,Seed,,,Private,,,,,,10-Jan,1,344997,,
Inversion,2021,"Aerospace, Space Travel, Transportation","Los Angeles, California, United States",90001,"Inversion builds space capsules to return cargo back to Earth for the commercial, civil, and defense industries.",Active,23864,Seed,2022-07-01,Seed,,,Private,,,,,$1M to $10M,10-Jan,4,10125000,"Y Combinator, Pioneer Fund, Liquid 2 Ventures, Arjun Sethi, Spark Capital",12
Galactiv,2021,"Aerospace, National Security, Space Travel","Austin, Texas, United States",78701,An in-space services provider enabling sustainable commercial activities in outer space.,Active,2084541,,,,,,Private,,,,,,10-Jan,,,,
Rasterly,2021,"Information and Communications Technology (ICT), Information Technology, Internet","Lakewood, Colorado, United States",80226,Rasterly is a generative abstract art inspired by space and geometry.,Active,3017861,,,,,,Private,,,,,,10-Jan,,,,
OrbitalScan,2021,Aerospace,"Austin, Texas, United States",78701,OrbitalScan builds and operates space-based infrastructures that enable advancement in human space travel.,Active,1953836,,,,,,Private,,,,,,10-Jan,,,,
Lesath International Inc,2021,"Aerospace, Manufacturing, Space Travel, Transportation","Buffalo, New York, United States",14202,Space transportation and exploration.,Active,1195934,,,,,,Private,,,,Growing,,11-50,,,,
Spear AI,2021,"Artificial Intelligence (AI), Government, Machine Learning, Military, National Security","Washington, District of Columbia, United States",20001,Artificial Intelligence for National Security,Active,1856411,,,,,,Private,,,,Growing,Less than $1M,11-50,,,,
Privateer,2021,"Big Data, Data Visualization, Geospatial, National Security, Predictive Analytics, Software","Kihei, Hawaii, United States",96753,Privateer develops data infrastructure to power sustainable growth for the new space economy.,Active,27487,Early Stage Venture,2024-05-06,Series A,,,Private,,,,,$1M to $10M,11-50,2,56500000,"Lux Capital, Jackson Moses, Starburst Accelerator, Winklevoss Capital, BOKA Group",11
Poolular,2021,"Construction, Information Technology, Manufacturing, Professional Services, Retail","Montville, New Jersey, United States",7865,Poolular is a swimming pool technology company focused on inventive solutions to the outdoor products space.,Active,163460,Seed,2023-04-10,Pre-Seed,,,Private,,,,,Less than $1M,10-Jan,2,95000,,
Little Place Labs,2021,"Aerospace, Artificial Intelligence (AI), Cyber Security, Machine Learning","Houston, Texas, United States",77002,Building machine learning solutions for space edge computing in a scalable way.,Active,106741,Seed,2023-09-11,Pre-Seed,,,Private,,,,Growing,Less than $1M,11-50,3,320000,"Techstars, AWS Space Accelerator, Family & Friends",3
SemanticGuard,2021,"Cyber Security, Information Technology, Software","Huntsville, Alabama, United States",35810,SemanticGuard delivers a new category of application security to protect critical infrastructure.,Active,157977,Seed,2023-08-09,Grant,,,Private,,,,,,10-Jan,3,100000,"gener8tor, Right Side Capital Management, Innovate Alabama",3
Half Square,2021,"Aerospace, Cloud Security, Cyber Security, Data Center, Data Storage, Fraud Detection, Information Technology, Network Security, Penetration Testing, Space Travel","New York, New York, United States",10001,"HalfSquare Inc.as a multinational tech company, specializes in digital services and products, including cyber security, AI, cloud computing",Active,198455,Seed,2022-09-01,Seed,,,Private,,,,,,101-250,2,2500,,
Charter Space,2021,"Aerospace, Enterprise Software, Space Travel, Supply Chain Management","El Segundo, California, United States",90245,Charter is developing logistics software for satellite companies to streamline missions and reduce wasted engineering hours.,Active,284727,Seed,2022-12-07,Pre-Seed,,,Private,,,,,,10-Jan,1,,"Techstars, 7percent Ventures",2
Accessed Space,2021,"Business Information Systems, Enterprise Applications, Enterprise Software, Human Resources, Information Technology, Software","Coeur D'alene, Idaho, United States",83814,"Our software helps businesses achieve organization and save time with onboarding, managing all software, and company-issued equipment.",Active,1279416,,,,,,Private,,,,,,10-Jan,,,,
Space Kinetic,2022,"Aerospace, Logistics, Robotics, Transportation","Albuquerque, New Mexico, United States",87102,Building resilient in-space supply lines.,Active,163501,Seed,,Pre-Seed,,,Private,,,,Growing,,10-Jan,2,75000,"New Mexico Vintage Fund, AWS Space Accelerator",2
Hexigon,2022,"Artificial Intelligence (AI), Machine Learning, Software, Venture Capital, Web Design, Web Development","Denver, Colorado, United States",80202,"We build ideas, mainly in the AI space. We also fund them and empower others by building the tools to make them happen",Active,1899098,,,,,,Private,,,,Growing,,11-50,,,,
